[10-02 15:03:26] Score: -100, Best Score: 44, Avg Score: -77.94163424124514, Steps: 1
[10-02 15:03:28] Score: -100, Best Score: 44, Avg Score: -78.02713178294573, Steps: 1
[10-02 15:03:31] Score: -100, Best Score: 44, Avg Score: -78.11196911196912, Steps: 1
[10-02 15:03:35] Score: -85, Best Score: 44, Avg Score: -78.13846153846154, Steps: 16
[10-02 15:03:39] Score: -93, Best Score: 44, Avg Score: -78.19540229885058, Steps: 8
[10-02 15:03:58] Score: 15, Best Score: 44, Avg Score: -77.83969465648855, Steps: 116
[10-02 15:04:03] Score: -86, Best Score: 44, Avg Score: -77.87072243346007, Steps: 15
[10-02 15:04:12] Score: -54, Best Score: 44, Avg Score: -77.78030303030303, Steps: 47
[10-02 15:04:15] Score: -100, Best Score: 44, Avg Score: -77.86415094339623, Steps: 1
[10-02 15:04:17] Score: -99, Best Score: 44, Avg Score: -77.94360902255639, Steps: 2
[10-02 15:04:20] Score: -95, Best Score: 44, Avg Score: -78.00749063670412, Steps: 6
[10-02 15:04:23] Score: -100, Best Score: 44, Avg Score: -78.08955223880596, Steps: 1
[10-02 15:04:30] Score: -76, Best Score: 44, Avg Score: -78.0817843866171, Steps: 25
[10-02 15:04:42] Score: -39, Best Score: 44, Avg Score: -77.93703703703704, Steps: 62
[10-02 15:04:46] Score: -91, Best Score: 44, Avg Score: -77.98523985239852, Steps: 10
[10-02 15:04:48] Score: -100, Best Score: 44, Avg Score: -78.06617647058823, Steps: 1
[10-02 15:04:51] Score: -100, Best Score: 44, Avg Score: -78.14652014652015, Steps: 1
[10-02 15:04:57] Score: -81, Best Score: 44, Avg Score: -78.15693430656934, Steps: 20
[10-02 15:05:00] Score: -100, Best Score: 44, Avg Score: -78.23636363636363, Steps: 1
[10-02 15:05:05] Score: -82, Best Score: 44, Avg Score: -78.25, Steps: 19
[10-02 15:05:13] Score: -67, Best Score: 44, Avg Score: -78.20938628158845, Steps: 34
[10-02 15:05:21] Score: -63, Best Score: 44, Avg Score: -78.15467625899281, Steps: 38
[10-02 15:05:29] Score: -68, Best Score: 44, Avg Score: -78.11827956989248, Steps: 33
[10-02 15:05:34] Score: -83, Best Score: 44, Avg Score: -78.13571428571429, Steps: 18
[10-02 15:05:38] Score: -88, Best Score: 44, Avg Score: -78.17081850533808, Steps: 13
[10-02 15:05:41] Score: -98, Best Score: 44, Avg Score: -78.24113475177305, Steps: 3
[10-02 15:05:46] Score: -87, Best Score: 44, Avg Score: -78.2720848056537, Steps: 14
[10-02 15:05:49] Score: -100, Best Score: 44, Avg Score: -78.34859154929578, Steps: 1
[10-02 15:06:02] Score: -38, Best Score: 44, Avg Score: -78.20701754385965, Steps: 63
[10-02 15:06:06] Score: -86, Best Score: 44, Avg Score: -78.23426573426573, Steps: 15
[10-02 15:06:12] Score: -77, Best Score: 44, Avg Score: -78.22996515679442, Steps: 24
[10-02 15:06:15] Score: -99, Best Score: 44, Avg Score: -78.30208333333333, Steps: 2
[10-02 15:06:22] Score: -71, Best Score: 44, Avg Score: -78.27681660899654, Steps: 30
[10-02 15:06:26] Score: -91, Best Score: 44, Avg Score: -78.32068965517242, Steps: 10
[10-02 15:06:31] Score: -83, Best Score: 44, Avg Score: -78.33676975945018, Steps: 18
[10-02 15:06:34] Score: -100, Best Score: 44, Avg Score: -78.41095890410959, Steps: 1
[10-02 15:06:41] Score: -67, Best Score: 44, Avg Score: -78.37201365187714, Steps: 34
[10-02 15:06:48] Score: -74, Best Score: 44, Avg Score: -78.35714285714286, Steps: 27
